name,id,expiryInWeeks,cost,acceptText,rejectText,isRejectable,description,cash,baseCustomersMod,priceMod,prerequisiteEvents,minSeason,minWeek,notes,,Week #'s for each season
Unwanted Visitor,drunk,2,,He probably just needs a drink,Show him the door,1,An unwanted visitor has shown up slurring his words and stumbling around the bar,,-25,,,1,21,,,
Send Back:  Tastes Funny,sendback1,1,12,The customer is always right,"""You wanted cream in a dry martini""",1,"""This drink tastes funny, I want a new one""",,3,,,3,74,,,
Send Back: Not Enough Booze,sendback2,1,12,The customer is always right,"""You saw us measure it""",1,"""Broh, it doesn't even taste like vodka.  Top me up""",,3,,,4,82,,,
Send Back: Not My Drink,sendback3,1,12,The customer is always right,"""No, you picked up someone elses drink""",1,"""You gave me someone elses drink""",,3,,,1,6,,,
Noise Complaint,noise,-1,,Turn down the speakers,"""You chose to live above a bar...""",,Your upstairs neighbour left a voicemail complaining about the noise,,-20,,,3,77,,,
Player Triggered Events,,,,,,,,,,,leave this row empty to be a heading for yourself,,,,,
To Soda or not To Soda,cream,-1,,Non-alcoholic drinks are fine,Limit staff consumption,1,Eddie has been drinking a lot of sodas lately.,,,-1,,2,37,,,
Domino Effect,breakage,1,50000,Make Ashley work in bubble wrap,,0,"All the glassware has broken. Hammer-hands, Ashley, strikes again",,,,,5,123,,,
No Show,noshow,1,,Let it Slide,Disciplinary Action,1,Marco didn't show up to work today,,,,,1,4,,,
No Show,noshow2,1,,Have a quick chat,Disciplinary Action,1,Marco didn't show up to work again,,,,noshow,2,49,,,
No Show,noshow3,1,,Fire Marco,"That's just Marco, he's fine",1,"Marco's is a no show, yet again...",,,,noshow2,3,63,,,
Termination without Representation!,noshow4,1,100000,Double Dang-it Marco!,,0,"Without proper documentation, Marco needs to be paid out",,,,noshow3,6,157,,,
HR,harassment,1,,Address the issue immediately,,0,Rumors have begun to come up regarding Bear mistreating some of the staff.,,,,,4,93,,,
Swift justice,harassment2,1,,Not on my ship!,,0,Great job swiftly stepping in when you smelled smoke. There's no place for harassment and Bear has been appropriately reprimanded.,,,,,4,94,,,
Suspicious,theft,1,,Confront Theo,Send an ambiguous email about theft,1,Theodore was seen leaving storage with a bottle shaped lump in his jacket,,,,,5,124,,,
,theft2,1,20000,Pay him to forget this ever happened,,0,It was a water bottle.  Theo feels personally attacked,,,,theft,5,125,,,
